URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-3/,43,8,0.68,0.049,173.42,0.35,69.51,26.69,249,703,1470,0,5.46
2,https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19-2/,47,16,0.49,0.03,105.12,0.27,42.16,17.61,272,995,1857,0,4.89
3,https://insights.blackcoffer.com/is-telemedicine-effective-in-treating-patients/,89,28,0.52,0.033,124.06,0.35,49.77,18.75,634,1795,3925,1,5.56
4,https://insights.blackcoffer.com/is-telehealth-the-future-of-healthcare-2/,68,24,0.47,0.024,135.54,0.37,54.36,20.25,677,1811,3966,0,5.65
5,https://insights.blackcoffer.com/how-people-diverted-to-telehealth-services-and-telemedicine/,88,34,0.44,0.029,148.12,0.32,59.38,22.65,613,1859,3940,1,5.51
6,https://insights.blackcoffer.com/the-future-of-telehealth-services/,74,38,0.32,0.019,133.27,0.35,53.45,20.03,659,1848,4115,2,5.56
7,https://insights.blackcoffer.com/how-telehealth-and-telemedicine-helping-people-to-fight-against-covid-19/,74,38,0.32,0.019,133.27,0.35,53.45,20.03,659,1848,4115,2,5.56
8,https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector-2/,38,4,0.8,0.041,116.59,0.27,46.74,19.52,226,824,1583,10,4.99
9,https://insights.blackcoffer.com/the-impact-of-the-metaverse-on-financial-services/,56,10,0.69,0.03,142,0.32,56.93,22.06,443,1347,2784,2,5.38
10,https://insights.blackcoffer.com/how-metaverse-and-vr-can-reform-work-culture/,58,27,0.36,0.017,141.59,0.321,56.76,22.83,584,1819,3667,7,5.2
11,https://insights.blackcoffer.com/how-does-metaverse-work-in-the-financial-sector/,50,16,0.515151507346189,0.0233196158962142,156.214285714285,0.27434842249657,62.5954536547129,25.3928571428571,400,1458,2785,6,5.06310013717421
12,https://insights.blackcoffer.com/how-metaverse-will-change-your-life/,52,20,0.444444438271605,0.018757327069896,134.96,0.269636576787807,54.0918546307151,22.2666666666666,460,1706,3313,21,4.99824150058616
13,https://insights.blackcoffer.com/the-metaverse-and-its-implications-for-our-digital-future/,33,15,0.3749999921875,0.0111731843506063,146.533333333333,0.214773432650527,58.6992427063935,25.6666666666666,346,1611,2864,35,4.53879577901924
14,https://insights.blackcoffer.com/do-all-social-media-is-owned-by-meta/,11,9,0.0999999950000002,0.00210084033392768,139.829268292682,0.298319327731092,56.0510350481656,22.5121951219512,284,952,1853,2,5.09558823529411
15,https://insights.blackcoffer.com/how-metaverse-is-shaping-the-future-the-next-big-tech-phenomena/,54,12,0.636363626721763,0.0229007633462918,120.604395604395,0.284623773173391,48.3556077510276,19.6153846153846,522,1834,3533,3,5.06052344601962
16,https://insights.blackcoffer.com/what-are-the-challenges-and-acceptance-of-e-learning-during-the-covid-19-for-students-and-teachers-2/,26,39,-0.199999996923077,-0.01778385770481,140.774193548387,0.257181942544459,56.4125501963726,23.2903225806451,188,731,1387,5,5.02462380300957
17,https://insights.blackcoffer.com/what-is-the-limitation-of-e-learning-classes/,32,69,-0.366336630036271,-0.02186761228022,122.75294117647,0.279550827423167,49.2129968015575,19.7647058823529,473,1692,3378,3,5.22399527186761
